Ano,Castanha,Precipitacao,frp_total_aqua
2003,9066,190.83416666666668,548687.9
2004,9148,199.055,436768.0
2005,8983,193.43166666666664,978434.5
2006,9163,203.835,714936.3
2007,8871,195.17583333333332,608830.3
2008,9111,208.9416666666667,378391.6
2009,16014,206.03583333333333,407822.9
2010,16040,172.80416666666667,635055.3
2011,14662,194.7275,197535.6
2012,10479,200.95666666666668,497894.0
2013,11787,206.9933333333333,212748.3
2014,12903,210.38583333333332,436554.9
2015,13983,175.75833333333333,750186.8
2016,15185,193.8166666666667,662898.9
2017,10013,213.14416666666668,640325.4
2018,12163,204.92416666666668,608367.5
2019,12183,220.3983333333333,971243.8
2020,11709,208.03416666666664,1047705.1
2021,11738,237.82333333333332,1231995.8
2022,14306,211.91916666666668,1561958.2
2023,11292,201.17416666666668,1104446.7
2024,11573,198.8642857142857,2052051.3
